ID,Type,Collection Period,Date,Season,Latitude,Longitude,Unspec,Spec,Half,Two,TwoVeg,Live,DeadVegManual,SR,BP,IP,BS,VE,SG,DG,SH,SB,PW,KE,VV,WO,SL,MI,Viewshed,Pioneer_Builders,Secondary_Stabilizers,Secondary_Builders,Pioneer_Stabilizers,Tertiary_Stabilizers,NonVeg
6,Nest,"w/in est/hatch, but fail determined 4/8",2024-04-25T00:00:00Z,Nesting,36.73584,-121.80467,None,Ice Plant,0.07,0.01,0.004,0,0.004,0,0,0.004,0,0,0,0,0,0,0,0,5.000000000000004e-4,0.004,0.001,5.000000000000004e-4,300,0,0.004,0,0,0,0.006
3,Nest,after hatch,2024-04-25T00:00:00Z,Nesting,36.73632,-121.80431,None,Ice Plant,0.05,0.05,0.020000000000000018,0.002,0.018000000000000016,0.0025,0,0.017500000000000016,0,0,0,0,0,0,0,0.005,0.0025,0.020000000000000018,0,0.0025,360,0.0025,0.017500000000000016,0,0,0,0.030000000000000027
12,Nest,w/in est/hatch,2024-04-25T00:00:00Z,Nesting,36.73862,-121.80415,None,Beach Pea,0.45,0.25,0.25,0.225,0.025,0.1,0.075,0,0.075,0,0.025,0,0,0,0,0,0.0125,0,0,0,360,0.1,0.1,0,0.075,0,0.0125
20,Nest,date found,2024-04-25T00:00:00Z,Nesting,36.74001,-121.803616,None,Beach Bur Sage,0.1,0.15,0.15,0.15,0,0.015000000000000003,0,0,0.09,0.022500000000000003,0.022500000000000003,0,0,0,0,0,0,0,0,0,360,0.015000000000000003,0.045000000000000005,0,0.09,0,0
9,Nest,"w/in est/hatch, but fail determined 4/8",2024-04-25T00:00:00Z,Nesting,36.7394,-121.80366,None,Kelp,0.05,0.05,0.020000000000000018,0.004,0.016000000000000014,0.0075,0,0.012500000000000011,0,0,0,0,0,0,0,0.020000000000000018,0,0.010000000000000009,0,0,360,0.0075,0.012500000000000011,0,0,0,0.030000000000000027
8,Nest,"w/in est/hatch, but fail determined 4/8",2024-04-25T00:00:00Z,Nesting,36.73906,-121.80362,None,Woody,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475,0,0.0025,360,0,0,0,0,0,0.050000000000000044
1,Nest,after hatch,2024-04-25T00:00:00Z,Nesting,36.74317,-121.80336,None,Ice Plant,0.05,0.01,0.009,4.500000000000001e-4,0.00855,5e-4,0,0.0085,0,0,0,0,0,0,0,5e-4,0,5e-4,0,0,360,5e-4,0.0085,0,0,0,0.001
19,Nest,w/in est/hatch,2024-04-25T00:00:00Z,Nesting,36.74412,-121.80419,None,Woody,0.1,0.05,0.005,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.0425,0,0.0025,360,0.005,0,0,0,0,0.045000000000000005
10,Nest,w/in est/hatch,2024-04-25T00:00:00Z,Nesting,36.74743,-121.8044,None,Woody,0.1,0.05,0.0025,0.0025,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0.0475,0,0,360,0,0,0,0.0025,0,0.0475
21,Nest,date found,2024-04-25T00:00:00Z,Nesting,36.747718,-121.804075,None,Woody,0.1,0.05,0.019999999999999997,0.019999999999999997,0,0,0,0,0,0.0025,0,0,0,0.017499999999999998,0,0,0,0.03,0,0,350,0.017499999999999998,0.0025,0,0,0,0.03
14,Nest,w/in est/hatch,2024-04-25T00:00:00Z,Nesting,36.74842,-121.80389,None,Shell,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.001,0,360,0,0,0,0,0,0.010000000000000002
38,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74778,-121.80357,None,Sea Rocket,0.1,0.05,0.03,0.027,0.003,0.03,0,0,0,0,0,0,0,0,0,0,0,0.017499999999999998,0,0.0025,350,0.03,0,0,0,0,0.019999999999999997
40,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74774,-121.80337,None,Woody,0.3,0.3,0.2,0.2,0,0.09,0,0,0.12,0,0,0,0,0,0,0,0,0.09,0,0,300,0.09,0,0,0.12,0,0.09
36,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74445,-121.80415,None,Woody,0.05,0.05,0.020000000000000004,0.017,0.003,0.020000000000000004,0,0,0,0,0,0,0,0,0,0,0,0.027500000000000004,0,0.0025,360,0.020000000000000004,0,0,0,0,0.030000000000000006
25,Nest,after hatch,2024-06-07T00:00:00Z,Nesting,36.74403,-121.80338,None,Woody,0.05,0.01,5e-4,2.5e-4,2.5e-4,2.5e-4,0,2.5e-4,0,0,0,0,0,0,0,0,0,0.0095,0,0,360,2.5e-4,2.5e-4,0,0,0,0.0095
31,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74322,-121.80336,None,Woody,0.1,0.05,0.025000000000000005,0.012500000000000002,0.012500000000000002,0.020000000000000004,0,0.005,0,0,0,0,0,0,0,0,0,0.025,0,0,360,0.020000000000000004,0.005,0,0,0,0.025
